Rank,Country,X,CPI,Year,ID
58,Jordan,ME,4.8,2012,JOR
58,Namibia,AF,4.8,2012,NAM
61,Oman,ME,4.7,2012,OMN
62,Croatia,EE,4.6,2012,HRV
62,Slovakia,EU,4.6,2012,SVK
64,Ghana,AF,4.5,2012,GHA
64,Lesotho,AF,4.5,2012,LSO
66,Kuwait,ME,4.4,2012,KWT
66,Romania,EU,4.4,2012,ROU
66,Saudi Arabia,ME,4.4,2012,SAU
69,Brazil,AM,4.3,2012,BRA
69,Macedonia,EE,4.3,2012,MKD
69,South Africa,AF,4.3,2012,ZAF
72,Bosnia and Herzegovina,EE,4.2,2012,BIH
72,Italy,EU,4.2,2012,ITA
72,Sao Tome and Principe,AF,4.2,2012,STP
75,Bulgaria,EU,4.1,2012,BGR
75,Liberia,AF,4.1,2012,LBR
75,Montenegro,EE,4.1,2012,MNE
75,Tunisia,ME,4.1,2012,TUN
79,Sri Lanka,AP,4,2012,LKA
80,China,AP,3.9,2012,CHN
80,Serbia,EE,3.9,2012,SRB
80,Trinidad and Tobago,AM,3.9,2012,TTO
83,Burkina Faso,AF,3.8,2012,BFA
83,El Salvador,AM,3.8,2012,SLV
83,Jamaica,AM,3.8,2012,JAM
83,Panama,AM,3.8,2012,PAN
83,Peru,AM,3.8,2012,PER
88,Malawi,AF,3.7,2012,MWI
88,Morocco,ME,3.7,2012,MAR
88,Suriname,AM,3.7,2012,SUR
88,Swaziland,AF,3.7,2012,SWZ
88,Thailand,AP,3.7,2012,THA
88,Zambia,AF,3.7,2012,ZMB
94,Benin,AF,3.6,2012,BEN
94,Colombia,AM,3.6,2012,COL
94,Djibouti,AF,3.6,2012,DJI
94,Greece,EU,3.6,2012,GRC
94,India,AP,3.6,2012,IND
94,Moldova,EE,3.6,2012,MDA
94,Mongolia,AP,3.6,2012,MNG
94,Senegal,AF,3.6,2012,SEN
102,Argentina,AM,3.5,2012,ARG
102,Gabon,AF,3.5,2012,GAB
102,Tanzania,AF,3.5,2012,TZA
105,Algeria,ME,3.4,2012,DZA
105,Armenia,EE,3.4,2012,ARM
105,Bolivia,AM,3.4,2012,BOL
105,Gambia,AF,3.4,2012,GMB
105,Kosovo,EE,3.4,2012,NA
105,Mali,AF,3.4,2012,MLI
105,Mexico,AM,3.4,2012,MEX
105,Philippines,AP,3.4,2012,PHL
113,Albania,EE,3.3,2012,ALB
113,Ethiopia,AF,3.3,2012,ETH
113,Guatemala,AM,3.3,2012,GTM
113,Niger,AF,3.3,2012,NER
113,Timor-Leste,AP,3.3,2012,TLS
118,Dominican Republic,AM,3.2,2012,DOM
118,Ecuador,AM,3.2,2012,ECU
118,Egypt,ME,3.2,2012,EGY
118,Indonesia,AP,3.2,2012,IDN
118,Madagascar,AF,3.2,2012,MDG
123,Belarus,EE,3.1,2012,BLR
123,Mauritania,AF,3.1,2012,MRT
123,Mozambique,AF,3.1,2012,MOZ
123,Sierra Leone,AF,3.1,2012,SLE
123,Vietnam,AP,3.1,2012,VNM
128,Lebanon,ME,3,2012,LBN
128,Togo,AF,3,2012,TGO
130,Côte d´Ivoire,AF,2.9,2012,CIV
130,Nicaragua,AM,2.9,2012,NIC
130,Uganda,AF,2.9,2012,UGA
133,Comoros,AF,2.8,2012,COM
133,Guyana,AM,2.8,2012,GUY
133,Honduras,AM,2.8,2012,HND
133,Iran,ME,2.8,2012,IRN
133,Kazakhstan,EE,2.8,2012,KAZ
133,Russia,EE,2.8,2012,RUS
139,Azerbaijan,EE,2.7,2012,AZE
139,Kenya,AF,2.7,2012,KEN
139,Nepal,AP,2.7,2012,NPL
139,Nigeria,AF,2.7,2012,NGA
139,Pakistan,AP,2.7,2012,PAK
144,Bangladesh,AP,2.6,2012,BGD
144,Cameroon,AF,2.6,2012,CMR
144,Central African Republic,AF,2.6,2012,CAF
144,Congo Republic,AF,2.6,2012,COG
144,Syria,ME,2.6,2012,SYR
144,Ukraine,EE,2.6,2012,UKR
150,Eritrea,AF,2.5,2012,ERI
150,Guinea-Bissau,AF,2.5,2012,GNB
150,Papua New Guinea,AP,2.5,2012,PNG
150,Paraguay,AM,2.5,2012,PRY
154,Guinea,AF,2.4,2012,GIN
154,Kyrgyzstan,EE,2.4,2012,KGZ
156,Yemen,ME,2.3,2012,YEM
157,Angola,AF,2.2,2012,AGO
157,Cambodia,AP,2.2,2012,KHM
157,Tajikistan,EE,2.2,2012,TJK
160,Democratic Republic of the Congo,AF,2.1,2012,COD
160,Laos,AP,2.1,2012,LAO
160,Libya,ME,2.1,2012,LBY
163,Equatorial Guinea,AF,2,2012,GNQ
163,Zimbabwe,AF,2,2012,ZWE
165,Burundi,AF,1.9,2012,BDI
165,Chad,AF,1.9,2012,TCD
165,Haiti,AM,1.9,2012,HTI
165,Venezuela,AM,1.9,2012,VEN
169,Iraq,ME,1.8,2012,IRQ
170,Turkmenistan,EE,1.7,2012,TKM
170,Uzbekistan,EE,1.7,2012,UZB
172,Myanmar,AP,1.5,2012,MMR
173,Sudan,AF,1.3,2012,SDN
174,Afghanistan,AP,0.8,2012,AFG
174,North Korea,AP,0.8,2012,PRK
174,Somalia,AF,0.8,2012,SOM
