Rank,Country,CPI,Year,
111,Togo,2.8,2009,
120,Armenia,2.7,2009,
120,Bolivia,2.7,2009,
120,Ethiopia,2.7,2009,
120,Kazakhstan,2.7,2009,
120,Mongolia,2.7,2009,
120,Vietnam,2.7,2009,
126,Eritrea,2.6,2009,
126,Guyana,2.6,2009,
126,Syria,2.6,2009,
126,Tanzania,2.6,2009,
130,Honduras,2.5,2009,
130,Lebanon,2.5,2009,
130,Libya,2.5,2009,
130,Maldives,2.5,2009,
130,Mauritania,2.5,2009,
130,Mozambique,2.5,2009,
130,Nicaragua,2.5,2009,
130,Nigeria,2.5,2009,
130,Uganda,2.5,2009,
139,Bangladesh,2.4,2009,
139,Belarus,2.4,2009,
139,Pakistan,2.4,2009,
139,Philippines,2.4,2009,
143,Azerbaijan,2.3,2009,
143,Comoros,2.3,2009,
143,Nepal,2.3,2009,
146,Cameroon,2.2,2009,
146,Ecuador,2.2,2009,
146,Kenya,2.2,2009,
146,Russia,2.2,2009,
146,Sierra Leone,2.2,2009,
146,Timor-Leste,2.2,2009,
146,Ukraine,2.2,2009,
146,Zimbabwe,2.2,2009,
154,Côte d´Ivoire,2.1,2009,
154,Papua New Guinea,2.1,2009,
154,Paraguay,2.1,2009,
154,Yemen,2.1,2009,
158,Cambodia,2,2009,
158,Central African Republic,2,2009,
158,Laos,2,2009,
158,Tajikistan,2,2009,
162,Angola,1.9,2009,
162,Congo Brazzaville,1.9,2009,
162,Democratic Republic of Congo,1.9,2009,
162,Guinea-Bissau,1.9,2009,
162,Kyrgyzstan,1.9,2009,
162,Venezuela,1.9,2009,
168,Burundi,1.8,2009,
168,Equatorial Guinea,1.8,2009,
168,Guinea,1.8,2009,
168,Haiti,1.8,2009,
168,Iran,1.8,2009,
168,Turkmenistan,1.8,2009,
174,Uzbekistan,1.7,2009,
175,Chad,1.6,,
176,Iraq,1.5,,
176,Sudan,1.5,,
178,Myanmar,1.4,,
179,Afghanistan,1.3,,
180,Somalia,1.1,,
